source_data_row_1_based,query_id,reference_id,path_index,used_for_support,role,missing_order,reference_event,reference_onset_s,reference_offset_s,reference_pitch_semitones,mapped_onset_s,mapped_offset_s,mapped_pitch_semitones,pitch_from_first_matched_reference_semitones,preceding_matched_query_onset_s,following_matched_query_onset_s,interpretation
13,e08_query_a_merged,e08_distractor_0,0,True,maximum_candidate,0,1,0.29899999499320984,0.39100000262260437,3.4323339462280273,0.29899999499320984,0.39100000262260437,3.4323339462280273,-1.9999971389770508,0.1340000033378601,0.6290000081062317,expected location/pitch under saved alignment; not a query observation or proven cause
14,e08_query_a_merged,e08_distractor_0,0,True,maximum_candidate,1,2,0.46399998664855957,0.5559999942779541,11.43239688873291,0.46399998664855957,0.5559999942779541,11.43239688873291,6.000065803527832,0.1340000033378601,0.6290000081062317,expected location/pitch under saved alignment; not a query observation or proven cause
15,e08_query_a_merged,e08_distractor_1,0,True,maximum_candidate,0,0,0.1340000033378601,0.22599999606609344,7.432484149932861,-0.3610000014305115,-0.0850000066287595,9.432559490203857,4.000150203704834,,0.1340000033378601,expected location/pitch under saved alignment; not a query observation or proven cause
16,e08_query_a_merged,e08_distractor_1,0,True,maximum_candidate,1,3,0.6290000081062317,0.7210000157356262,11.43239688873291,1.1240001022815758,1.4000001417868142,13.432472229003906,8.000062942504883,0.6290000081062317,,expected location/pitch under saved alignment; not a query observation or proven cause
17,e08_query_a_merged,e08_distractor_2,0,True,maximum_candidate,0,0,0.1340000033378601,0.22599999606609344,3.4323339462280273,-0.3610000014305115,-0.0850000066287595,3.4323339462280273,-1.9999971389770508,,0.1340000033378601,expected location/pitch under saved alignment; not a query observation or proven cause
18,e08_query_a_merged,e08_distractor_2,0,True,maximum_candidate,1,3,0.6290000081062317,0.7210000157356262,11.43239688873291,1.1240001022815758,1.4000001417868142,11.43239688873291,6.000065803527832,0.6290000081062317,,expected location/pitch under saved alignment; not a query observation or proven cause
19,e08_query_a_merged,e08_distractor_2,1,False,maximum_candidate,0,2,0.46399998664855957,0.5559999942779541,7.4324846267700195,1.1240000128746033,1.4000000523798415,9.432559967041016,4.000150680541992,0.6290000081062317,,expected location/pitch under saved alignment; not a query observation or proven cause
20,e08_query_a_merged,e08_distractor_2,1,False,maximum_candidate,1,3,0.6290000081062317,0.7210000157356262,11.43239688873291,1.6190001070499473,1.8950001465551858,13.432472229003906,8.000062942504883,0.6290000081062317,,expected location/pitch under saved alignment; not a query observation or proven cause
21,e08_query_a_merged,e08_distractor_3,0,True,maximum_candidate,0,0,0.1340000033378601,0.22599999606609344,3.4323339462280273,-0.11349997669458459,0.02450000824350279,3.4323339462280273,-1.9999971389770508,,0.1340000033378601,expected location/pitch under saved alignment; not a query observation or proven cause
22,e08_query_a_merged,e08_distractor_3,0,True,maximum_candidate,1,2,0.46399998664855957,0.5559999942779541,11.43239688873291,0.3814999833703048,0.5194999906601332,11.43239688873291,6.000065803527832,0.1340000033378601,0.6290000081062317,expected location/pitch under saved alignment; not a query observation or proven cause
23,e08_query_a_merged,e08_distractor_3,1,False,maximum_candidate,0,2,0.46399998664855957,0.5559999942779541,11.43239688873291,1.1240000128746033,1.4000000523798415,13.432472229003906,8.000062942504883,0.6290000081062317,,expected location/pitch under saved alignment; not a query observation or proven cause
24,e08_query_a_merged,e08_distractor_3,1,False,maximum_candidate,1,3,0.6290000081062317,0.7210000157356262,7.4324846267700195,1.6190001070499473,1.8950001465551858,9.432559967041016,4.000150680541992,0.6290000081062317,,expected location/pitch under saved alignment; not a query observation or proven cause
